adobe-source-sans-fonts 3.052-2
alacritty 0.15.1-1
amd-ucode 20250508.788aadc8-1
arch-install-scripts 29-1
base 3-2
base-devel 1-2
bat 0.25.0-4
cava 0.10.4-3
cbonsai 1.3.1-3
cmatrix 2.0-3
code 1.100.0-1
dhcpcd 10.2.2-1
discord_arch_electron 1:0.0.94-1
dkms 3.1.8-1
dolphin 25.04.0-2
dunst 1.12.2-1
easyeffects 7.2.3-2
efibootmgr 18-3
ethtool 1:6.11-1
fastfetch 2.42.0-3
fcitx5-configtool 5.1.9-1
fcitx5-mozc 2.31.5810.102.gb091429-1
firefox 138.0.1-1
gimp 3.0.2-3
git 2.49.0-1
greetd 0.10.3-1
greetd-regreet-git 0.2.0.r0.c75486b-1
grim 1.4.1-3
gst-plugin-pipewire 1:1.4.2-1
gvfs 1.57.2-3
htop 3.4.1-1
hypridle 0.1.6-4
hyprland 0.48.1-5
hyprlock 0.8.2-1
hyprpicker 0.4.5-1
hyprsunset 0.2.0-4
inter-font 4.1-1
iwd 3.8-1
jq 1.7.1-2
keepassxc 2.7.10-2
kitty 0.42.0-1
kpipewire 6.3.5-1
kwayland 6.3.5-1
lib32-nvidia-utils 570.144-1
lib32-vulkan-nouveau 1:25.1.0-1
libksysguard 6.3.5-1
libplasma 6.3.5-1
libpulse 17.0+r43+g3e2bb8a1e-1
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
linux 6.14.6.arch1-1
linux-firmware 20250508.788aadc8-1
linux-headers 6.14.6.arch1-1
lsd 1.1.5-1
man-db 2.13.1-1
megacmd 2.1.1-1
mesa-utils 9.0.0-5
nano 8.4-1
ngrok 3.22.1-1
nordic-theme 2.2.0-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.047-1
npm 11.3.0-1
nvidia-open-dkms 570.144-3
nvidia-settings 570.144-1
nwg-look 1.0.5-1
openssh 10.0p1-3
otf-aurulent-nerd 3.4.0-1
otf-codenewroman-nerd 3.4.0-1
otf-comicshanns-nerd 3.4.0-1
otf-commit-mono-nerd 3.4.0-1
otf-droid-nerd 3.4.0-1
otf-firamono-nerd 3.4.0-1
otf-geist-mono-nerd 3.4.0-1
otf-hasklig-nerd 3.4.0-1
otf-hermit-nerd 3.4.0-1
otf-jost 3.7-3
otf-monaspace-nerd 3.4.0-1
otf-opendyslexic-nerd 3.4.0-1
otf-overpass-nerd 3.4.0-1
pacman-contrib 1.11.0-1
pavucontrol 1:6.1-1
pipewire 1:1.4.2-1
pipewire-alsa 1:1.4.2-1
